date,adjclose,open,high,low,close,volume
1604188800,5.214980125427246,5.267003059387207,5.288877010345459,5.171067237854004,5.214980125427246,434742209
1604275200,4.956997871398926,5.21497917175293,5.2641448974609375,4.908670902252197,4.956997871398926,696015911
1604361600,4.853766918182373,4.956997871398926,4.956997871398926,4.682983875274658,4.853766918182373,638480036
1604448000,4.864776134490967,4.853765964508057,4.939719200134277,4.684934139251709,4.864776134490967,776353466
1604534400,5.0926008224487305,4.864776134490967,5.092714786529541,4.799898147583008,5.0926008224487305,716892261
1604620800,5.355967044830322,5.0926008224487305,5.429566860198975,5.057776927947998,5.355967044830322,579096370
1604707200,5.07266092300415,5.355967044830322,5.53874397277832,4.961042881011963,5.07266092300415,460073699
1604793600,5.17813777923584,5.07266092300415,5.26262903213501,5.044233798980713,5.17813777923584,386130835
1604880000,5.033513069152832,5.17813777923584,5.213601112365723,4.917063236236572,5.033513069152832,413108147
1604966400,5.12277889251709,5.0335211753845215,5.1957550048828125,5.014953136444092,5.12277889251709,663080326
1605052800,5.089673042297363,5.122779846191406,5.200890064239502,5.072134017944336,5.089673042297363,1429155325
1605139200,5.0320258140563965,5.089673042297363,5.119846820831299,4.974705219268799,5.0320258140563965,1001159037
1605225600,5.131898880004883,5.0320258140563965,5.1503520011901855,5.003164768218994,5.131898880004883,426788741
1605312000,5.0395097732543945,5.131898880004883,5.161546230316162,4.990415096282959,5.0395097732543945,376806344
1605398400,5.027723789215088,5.0395097732543945,5.053790092468262,4.945288181304932,5.027723789215088,385247536
1605484800,5.312432765960693,5.027723789215088,5.392848014831543,4.991576194763184,5.312432765960693,561294196
1605571200,5.766290187835693,5.580334186553955,5.951333999633789,5.50494384765625,5.766290187835693,896581894
1605657600,6.061841011047363,5.766289234161377,6.335029125213623,5.432863235473633,6.061841011047363,1857196416
1605744000,5.920776844024658,6.061827182769775,6.143343925476074,5.753198146820068,5.920776844024658,1060495098
1605830400,6.051115036010742,5.920783042907715,6.074612140655518,5.851344108581543,6.051115036010742,1031112251
1605916800,6.566001892089844,6.051115036010742,6.572062015533447,5.871675968170166,6.566001892089844,1320305778
1606003200,6.020376205444336,6.566001892089844,6.683684825897217,5.747603893280029,6.020376205444336,1162351895
1606089600,6.531390190124512,6.020377159118652,6.531630039215088,5.951179027557373,6.531390190124512,1134816057
1606176000,7.259276866912842,6.531252861022949,7.375124931335449,6.457746982574463,7.259276866912842,1926616509
1606262400,7.002114772796631,7.259712219238281,7.8786139488220215,6.762077808380127,7.002114772796631,2487592318
1606348800,6.12515115737915,7.000277042388916,7.1585469245910645,5.633684158325195,6.12515115737915,2187891310
1606435200,6.202727794647217,6.127225875854492,6.444326877593994,5.950169086456299,6.202727794647217,1129287986
1606521600,6.326377868652344,6.203550815582275,6.460874080657959,6.09254789352417,6.326377868652344,1061296762
1606608000,6.392298221588135,6.326498985290527,6.445794105529785,6.169863224029541,6.392298221588135,810402854
1606694400,6.7167439460754395,6.392255783081055,6.783510208129883,6.319732189178467,6.7167439460754395,1166399340
